居住地_省,居住地_市,就业地_省,就业地_市,count
江苏省,宿迁市,浙江省,台州市,40
江苏省,常州市,浙江省,台州市,86
江苏省,徐州市,浙江省,台州市,74
江苏省,扬州市,浙江省,台州市,52
江苏省,无锡市,浙江省,台州市,155
浙江省,杭州市,浙江省,台州市,1549
安徽省,池州市,浙江省,台州市,55
江苏省,泰州市,浙江省,台州市,29
安徽省,淮北市,浙江省,台州市,46
安徽省,淮南市,浙江省,台州市,23
江苏省,淮安市,浙江省,台州市,28
浙江省,温州市,浙江省,台州市,1573
浙江省,湖州市,浙江省,台州市,149
安徽省,滁州市,浙江省,台州市,80
江苏省,盐城市,浙江省,台州市,59
浙江省,绍兴市,浙江省,台州市,381
浙江省,舟山市,浙江省,台州市,83
安徽省,芜湖市,浙江省,台州市,56
江苏省,苏州市,浙江省,台州市,600
安徽省,蚌埠市,浙江省,台州市,192
浙江省,衢州市,浙江省,台州市,81
江苏省,连云港市,浙江省,台州市,28
浙江省,金华市,浙江省,台州市,658
安徽省,铜陵市,浙江省,台州市,12
江苏省,镇江市,浙江省,台州市,35
安徽省,阜阳市,浙江省,台州市,290
安徽省,马鞍山市,浙江省,台州市,23
安徽省,黄山市,浙江省,台州市,25
上海市,上海市,安徽省,合肥市,2019
浙江省,丽水市,安徽省,合肥市,8
安徽省,亳州市,安徽省,合肥市,1438
安徽省,六安市,安徽省,合肥市,3806
江苏省,南京市,安徽省,合肥市,924
江苏省,南通市,安徽省,合肥市,166
浙江省,台州市,安徽省,合肥市,95
浙江省,嘉兴市,安徽省,合肥市,123
浙江省,宁波市,安徽省,合肥市,255
安徽省,安庆市,安徽省,合肥市,1658
安徽省,宣城市,安徽省,合肥市,389
安徽省,宿州市,安徽省,合肥市,843
江苏省,宿迁市,安徽省,合肥市,98
江苏省,常州市,安徽省,合肥市,215
江苏省,徐州市,安徽省,合肥市,213
江苏省,扬州市,安徽省,合肥市,141
江苏省,无锡市,安徽省,合肥市,350
浙江省,杭州市,安徽省,合肥市,613
安徽省,池州市,安徽省,合肥市,592
江苏省,泰州市,安徽省,合肥市,61
安徽省,淮北市,安徽省,合肥市,388
安徽省,淮南市,安徽省,合肥市,1939
江苏省,淮安市,安徽省,合肥市,82
浙江省,温州市,安徽省,合肥市,88
浙江省,湖州市,安徽省,合肥市,163
安徽省,滁州市,安徽省,合肥市,1136
江苏省,盐城市,安徽省,合肥市,64
浙江省,绍兴市,安徽省,合肥市,67
浙江省,舟山市,安徽省,合肥市,18
安徽省,芜湖市,安徽省,合肥市,1273
江苏省,苏州市,安徽省,合肥市,838
安徽省,蚌埠市,安徽省,合肥市,870
浙江省,衢州市,安徽省,合肥市,17
江苏省,连云港市,安徽省,合肥市,47
